Kazakhstan,KAZ,94.1,94.1
Kenya,KEN,42.8,43.7
Kyrgyz Republic,KGZ,74.7,74.6
Cambodia,KHM,23.4,23.5
Kiribati,KIR,49.6,50.3
St. Kitts and Nevis,KNA,98.3,98.3
"Korea, Rep.",KOR,,89.6
Kosovo,KSV,,
Kuwait,KWT,99,99
Latin America & Caribbean (developing only),LAC,83.44611813,83.99351984
Lao PDR,LAO,,
Lebanon,LBN,,
Liberia,LBR,,
Libya,LBY,71.2,71.2
St. Lucia,LCA,92.5,92.7
Latin America & Caribbean (all income levels),LCN,84.88406858,85.38173364
Least developed countries: UN classification,LDC,50.4284734,50.16836596
Low income,LIC,45.4620248,44.91831628
Liechtenstein,LIE,,
Sri Lanka,LKA,68.3,69.5
Lower middle income,LMC,69.70867407,70.56257141
Low & middle income,LMY,69.87757424,70.59593056
Lesotho,LSO,77.4,77.5
Lithuania,LTU,87.2,87.5
Luxembourg,LUX,100,100
Latvia,LVA,98.3,98.3
"Macao SAR, China",MAC,,
St. Martin (French part),MAF,,
Morocco,MAR,72.6,73.3
Monaco,MCO,100,100
Moldova,MDA,,
Madagascar,MDG,29.5,30.4
Maldives,MDV,93.2,93.2
Middle East & North Africa (all income levels),MEA,87.38624702,87.58934039
Mexico,MEX,82.3,83
Marshall Islands,MHL,92,92.1
Middle income,MIC,71.85991875,72.78890003
"Macedonia, FYR",MKD,99.3,99.3
Mali,MLI,27.1,29.1
Malta,MLT,99.8,99.9
Myanmar,MMR,58.5,58.5
Middle East & North Africa (developing only),MNA,86.60545571,86.8303497
Montenegro,MNE,,
Mongolia,MNG,53.4,53.4
Northern Mariana Islands,MNP,94,94.1
Mozambique,MOZ,35.1,35.4
Mauritania,MRT,29.1,30.5
Mauritius,MUS,99.2,99.2
Malawi,MWI,42.5,44.5
Malaysia,MYS,90.3,90.7
North America,NAC,98.54025031,98.54028091
Namibia,NAM,69.6,70.4
New Caledonia,NCL,,
Niger,NER,33.7,34.7
Nigeria,NGA,39.9,41.2
Nicaragua,NIC,72.7,73.3
Netherlands,NLD,100,100
High income: nonOECD,NOC,93.17531356,93.34518956
Norway,NOR,100,100
Nepal,NPL,65.9,67
New Zealand,NZL,100,100
High income: OECD,OEC,99.01129205,98.58536493
OECD members,OED,96.9381035,96.69881761
Oman,OMN,78.8,79.1
Other small states,OSS,73.60012659,74.02532766
Pakistan,PAK,86.3,86.5
Panama,PAN,83.8,84.5
Peru,PER,74.3,74.8
Philippines,PHL,83.9,84.2
Palau,PLW,90,90.3
Papua New Guinea,PNG,33.8,33.6
Poland,POL,94.3,94.3
Puerto Rico,PRI,93.6,93.6
"Korea, Dem. Rep.",PRK,100,100
Portugal,PRT,96.1,96.3
Paraguay,PRY,53,55.2
Pacific island small states,PSS,83.40423711,83.70516386
French Polynesia,PYF,100,100
Qatar,QAT,,
Romania,ROU,73.9,75.4
Russian Federation,RUS,93.4,93.6
Rwanda,RWA,58.5,59.1
South Asia,SAS,71.68502404,72.03410492
Saudi Arabia,SAU,92,92
Sudan,SDN,67.4,67.7
Senegal,SEN,59.9,60.7
Singapore,SGP,100,100
Solomon Islands,SLB,,
Sierra Leone,SLE,36.7,37.8
El Salvador,SLV,70.2,71.3
San Marino,SMR,,
Somalia,SOM,,
Serbia,SRB,99.4,99.4
Sub-Saharan Africa (developing only),SSA,46.79548072,47.47711183
South Sudan,SSD,,
Sub-Saharan Africa (all income levels),SSF,46.80246339,47.48387312
Small states,SST,79.62322088,79.89135854
Sao Tome and Principe,STP,,
Suriname,SUR,,
Slovak Republic,SVK,99.8,99.8
Slovenia,SVN,99.6,99.6
Sweden,SWE,100,100
Swaziland,SWZ,38.9,38.9
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,95.7,95.7
Syrian Arab Republic,SYR,85.7,85.7
Turks and Caicos Islands,TCA,,
Chad,TCD,39.8,40.3
Togo,TGO,47.5,48.1
Thailand,THA,87.3,87.8
Tajikistan,TJK,,
Turkmenistan,TKM,,
Timor-Leste,TLS,,
Tonga,TON,98.6,98.6
Trinidad and Tobago,TTO,91.6,91.8
Tunisia,TUN,82.5,83.4
Turkey,TUR,86.2,86.4
Tuvalu,TUV,89.8,90.3
Tanzania,TZA,53.9,54
Uganda,UGA,40.4,42
Ukraine,UKR,,
Upper middle income,UMC,73.99737024,75.01870764
Uruguay,URY,94.8,94.9
United States,USA,98.4,98.4
Uzbekistan,UZB,90,89.9
St. Vincent and the Grenadines,VCT,88.2,88.7
"Venezuela, RB",VEN,88.8,89
Virgin Islands (U.S.),VIR,100,100
Vietnam,VNM,62.7,64.2
Vanuatu,VUT,62.4,63.7
West Bank and Gaza,PSE,,95.8
World,WLD,76.07616691,76.68059634
Samoa,WSM,88.9,89.4
"Yemen, Rep.",YEM,66.3,65.7
South Africa,ZAF,82.8,83
"Congo, Dem. Rep.",COD,43.6,43.9
Zambia,ZMB,49.2,49.5
Zimbabwe,ZWE,79.4,79.5
